X	Y	Y_hat
5	19	12.709823
-39	-122	-119.915756
18	51	51.894654
5	5	12.709823
-29	-94	-89.773579
9	11	24.766694
25	57	72.994178
-41	-115	-125.944192
9	30	24.766694
-12	-43	-38.531878
24	78	69.979960
-35	-100	-107.858886
7	4	18.738259
25	58	72.994178
-46	-120	-141.015280
17	49	48.880436
-25	-70	-77.716708
-41	-128	-125.944192
3	-2	6.681388
8	13	21.752476
-21	-65	-65.659837
7	9	18.738259
-4	-10	-14.418136
11	38	30.795130
36	122	106.150573
45	127	133.278532
-28	-97	-86.759362
-3	-6	-11.403919
67	200	199.591322
-13	-40	-41.546096
37	107	109.164790
15	60	42.852000
-62	-194	-189.242764
8	33	21.752476
35	118	103.136355
52	169	154.378056
21	38	60.937307
-58	-167	-177.185893
-21	-75	-65.659837
12	53	33.809347
-5	-13	-17.432354
40	116	118.207443
47	140	139.306967
7	24	18.738259
8	17	21.752476
-12	-43	-38.531878
-16	-48	-50.588749
-64	-196	-195.271199
6	15	15.724041
0	-2	-2.361265
21	61	60.937307
-33	-103	-101.830450
-8	-32	-26.475007
-4	-14	-14.418136
-20	-84	-62.645620
25	67	72.994178
4	11	9.695605
39	120	115.193226
10	11	27.780912
-31	-106	-95.802015
10	25	27.780912
-69	-198	-210.342288
29	92	85.051048
-31	-94	-95.802015
-3	0	-11.403919
-26	-96	-80.730926
34	87	100.122137
-28	-92	-86.759362
24	89	69.979960
34	98	100.122137
59	170	175.477580
-3	-22	-11.403919
-14	-29	-44.560313
7	18	18.738259
-6	-16	-20.446572
31	85	91.079484
31	93	91.079484
-36	-106	-110.873103
-13	-40	-41.546096
28	77	82.036831
52	137	154.378056
-30	-109	-92.787797
19	47	54.908871
-3	-2	-11.403919
1	26	0.652952
-4	-31	-14.418136
71	206	211.648193
-18	-61	-56.617184
11	24	30.795130
-2	0	-8.389701
29	80	85.051048
3	10	6.681388
-41	-129	-125.944192
-44	-119	-134.986845
-6	-24	-20.446572
4	20	9.695605
22	60	63.951524
11	36	30.795130
-7	-14	-23.460789
50	155	148.349621
-13	-57	-41.546096
31	78	91.079484
19	65	54.908871
-18	-50	-56.617184
-31	-75	-95.802015
-37	-123	-113.887321
39	117	115.193226
2	0	3.667170
-2	-26	-8.389701
-15	-52	-47.574531
19	64	54.908871
-29	-76	-89.773579
26	71	76.008395
35	111	103.136355
2	6	3.667170
-47	-156	-144.029498
1	7	0.652952
14	34	39.837783
0	-24	-2.361265
35	108	103.136355
10	39	27.780912
-19	-35	-59.631402
-40	-119	-122.929974
0	3	-2.361265
29	86	85.051048
22	47	63.951524
15	43	42.852000
-10	-41	-32.503443
6	13	15.724041
24	35	69.979960
53	155	157.392274
24	78	69.979960
30	77	88.065266
22	58	63.951524
-36	-110	-110.873103
11	24	30.795130
5	26	12.709823
-46	-150	-141.015280
15	36	42.852000
-50	-145	-153.072151
-19	-58	-59.631402
13	15	36.823565
-38	-120	-116.901539
-11	-33	-35.517660
4	-5	9.695605
-7	-16	-23.460789
19	49	54.908871
13	33	36.823565
20	70	57.923089
13	32	36.823565
-14	-34	-44.560313
-1	1	-5.375483
-19	-63	-59.631402
-27	-85	-83.745144
-51	-166	-156.086369
51	150	151.363838
-39	-105	-119.915756
-11	-33	-35.517660
2	21	3.667170
-36	-115	-110.873103
2	28	3.667170
-42	-121	-128.958410
-4	-6	-14.418136
-32	-98	-98.816232
16	28	45.866218
23	74	66.965742
25	74	72.994178
-23	-90	-71.688273
-7	-17	-23.460789
-4	-11	-14.418136
-20	-72	-62.645620
-92	-291	-279.669296
-15	-57	-47.574531
-6	-20	-20.446572
21	58	60.937307
-9	-26	-29.489225
66	204	196.577104
2	7	3.667170
23	84	66.965742
43	135	127.250097
30	94	88.065266
-12	-34	-38.531878
-15	-54	-47.574531
28	103	82.036831
16	44	45.866218
-57	-190	-174.171675
25	88	72.994178
-49	-167	-150.057934
-40	-133	-122.929974
1	0	0.652952
16	41	45.866218
-23	-76	-71.688273
12	41	33.809347
-29	-90	-89.773579
-43	-130	-131.972627
-28	-91	-86.759362
-22	-64	-68.674055
3	15	6.681388
16	35	45.866218
51	135	151.363838
-9	-17	-29.489225
-16	-56	-50.588749
27	72	79.022613
-72	-210	-219.384941
15	28	42.852000
-9	-12	-29.489225
3	17	6.681388
13	17	36.823565
17	63	48.880436
26	84	76.008395
25	80	72.994178
8	34	21.752476
6	4	15.724041
46	135	136.292750
-28	-75	-86.759362
39	118	115.193226
-31	-96	-95.802015
-9	-39	-29.489225
24	54	69.979960
-11	-39	-35.517660
-26	-84	-80.730926
0	25	-2.361265
14	52	39.837783
4	-6	9.695605
-14	-42	-44.560313
-11	-37	-35.517660
16	50	45.866218
1	-10	0.652952
-7	-23	-23.460789
-7	-35	-23.460789
2	17	3.667170
-20	-76	-62.645620
77	210	229.733499
-43	-117	-131.972627
36	99	106.150573
-20	-59	-62.645620
6	27	15.724041
-11	-34	-35.517660
19	60	54.908871
4	1	9.695605
-6	-24	-20.446572
-6	-17	-20.446572
6	9	15.724041
48	145	142.321185
-22	-54	-68.674055
5	16	12.709823
-45	-142	-138.001063
2	8	3.667170
-20	-55	-62.645620
68	213	202.605540
21	69	60.937307
27	69	79.022613
23	67	66.965742
-9	-14	-29.489225
27	77	79.022613
-15	-39	-47.574531
19	43	54.908871
81	240	241.790370
31	96	91.079484
-26	-73	-80.730926
-26	-72	-80.730926
44	118	130.264314
14	47	39.837783
-12	-48	-38.531878
0	2	-2.361265
-11	-30	-35.517660
-8	-27	-26.475007
9	17	24.766694
-7	-8	-23.460789
16	43	45.866218
-13	-48	-41.546096
26	65	76.008395
28	89	82.036831
-10	-24	-32.503443
21	68	60.937307
43	121	127.250097
-39	-124	-119.915756
-47	-163	-144.029498
-64	-205	-195.271199
-16	-42	-50.588749
-6	-5	-20.446572
4	8	9.695605
-44	-142	-134.986845
2	8	3.667170
74	207	220.690846
15	36	42.852000
-26	-97	-80.730926
-29	-78	-89.773579
-39	-121	-119.915756
55	169	163.420709
-5	-32	-17.432354
-5	-23	-17.432354
-35	-100	-107.858886
-6	-30	-20.446572
46	134	136.292750
-20	-63	-62.645620
-36	-101	-110.873103
23	86	66.965742
-72	-223	-219.384941
44	124	130.264314
